age,sleep_duration,heart_rate,work_hours,screen_time,physical_activity,stress_level
51,5.0,81.0,7.4,8.1,69.0,0
27,5.0,100.0,11.4,5.4,36.0,2
53,5.9,88.0,4.8,6.2,20.0,2
31,7.5,62.0,9.8,4.4,35.0,0
48,7.9,61.0,6.5,3.3,34.0,0
32,5.8,81.0,9.2,7.2,79.0,0
25,4.8,67.0,8.7,8.0,28.0,1
31,6.9,90.0,7.7,6.9,11.0,2
40,5.3,83.0,9.9,5.8,35.0,1
57,5.7,84.0,8.6,3.6,39.0,1
38,8.5,74.0,8.1,7.8,46.0,0
33,7.7,103.0,7.4,6.7,50.0,1
35,6.7,116.0,8.7,9.5,74.0,0
41,4.6,79.0,9.2,3.2,23.0,2
43,6.8,86.0,5.5,7.2,21.0,2
42,8.1,83.0,7.5,6.6,0.0,2
58,5.9,79.0,5.3,4.8,48.0,0
46,8.5,72.0,8.4,8.2,17.0,2
32,8.4,69.0,6.7,6.3,53.0,0
18,9.0,68.0,10.8,3.6,25.0,1
42,7.0,87.0,10.5,5.3,70.0,0
24,7.4,76.0,5.7,3.6,6.0,2
26,8.6,51.0,8.5,4.6,55.0,0
41,7.2,87.0,10.4,6.9,53.0,0
18,5.7,82.0,8.0,7.5,46.0,0
25,5.8,98.0,6.3,5.9,13.0,2
41,6.9,86.0,5.2,4.0,46.0,0
28,4.6,64.0,11.1,6.3,38.0,1
34,6.3,55.0,11.2,6.9,0.0,2
25,8.1,73.0,7.9,1.6,66.0,0
52,3.2,74.0,10.8,5.7,28.0,1
52,8.8,93.0,1.0,5.1,65.0,0
50,8.2,82.0,12.5,7.4,34.0,1
22,5.8,96.0,8.0,6.3,55.0,0
59,7.3,66.0,8.9,6.5,18.0,1
56,6.5,94.0,7.5,4.5,39.0,1
58,8.3,91.0,12.7,5.5,38.0,1
45,8.0,58.0,5.3,7.4,29.0,1
24,4.4,98.0,12.9,5.4,18.0,2
26,7.4,83.0,9.7,5.8,0.0,2
25,6.2,87.0,10.4,2.4,18.0,2
29,6.6,72.0,7.5,5.4,49.0,0
51,5.4,97.0,4.6,1.5,7.0,2
50,9.1,68.0,11.3,4.5,11.0,2
40,8.1,92.0,9.4,5.6,6.0,2
41,5.4,92.0,12.6,7.0,39.0,2
54,4.5,70.0,7.9,3.5,17.0,1
52,5.9,106.0,7.2,6.2,59.0,1
57,7.2,85.0,12.7,8.4,50.0,1
39,6.9,90.0,14.2,4.2,39.0,1
44,8.4,64.0,8.5,2.4,41.0,0
52,7.7,107.0,6.2,6.1,20.0,2
18,8.0,67.0,10.9,3.1,20.0,1
52,7.0,94.0,7.7,3.9,49.0,1
54,4.4,70.0,10.3,7.3,53.0,0
31,6.2,75.0,7.7,9.3,49.0,0
20,8.1,91.0,13.2,3.5,26.0,2
18,6.4,94.0,6.4,4.0,27.0,2
22,7.3,67.0,9.9,4.6,16.0,2
43,6.0,95.0,7.0,4.4,50.0,1
31,5.0,95.0,7.7,9.4,0.0,2
56,6.3,71.0,7.3,4.4,0.0,2
44,7.0,101.0,10.7,4.7,0.0,2
26,5.5,65.0,11.3,8.7,0.0,2
32,6.1,75.0,10.2,6.7,62.0,0
32,5.1,88.0,8.2,7.5,51.0,1
43,8.2,72.0,8.9,3.7,11.0,2
59,6.1,85.0,11.2,4.4,33.0,1
30,8.7,85.0,11.3,3.4,64.0,0
49,8.8,80.0,1.0,7.1,45.0,1
56,6.4,92.0,7.7,8.0,77.0,0
49,5.0,79.0,7.8,4.3,33.0,1
21,3.4,85.0,10.5,4.8,22.0,2
47,4.3,96.0,8.3,4.9,13.0,2
54,4.4,91.0,10.7,2.4,35.0,1
40,8.6,91.0,5.3,4.2,54.0,0
56,6.7,68.0,9.3,7.0,37.0,0
32,7.1,88.0,11.2,3.7,28.0,1
46,3.2,71.0,4.1,5.7,60.0,0
53,4.7,67.0,16.0,2.9,46.0,0
30,7.8,81.0,12.1,5.2,33.0,1
49,6.9,71.0,8.5,4.4,20.0,1
24,6.3,91.0,6.0,3.1,30.0,1
39,7.3,92.0,8.0,7.1,44.0,1
45,9.0,59.0,8.8,7.2,19.0,1
19,6.2,72.0,9.8,3.6,10.0,2
59,6.6,64.0,13.0,5.1,25.0,1
23,6.8,76.0,7.1,5.6,34.0,1
45,10.1,87.0,10.2,1.9,62.0,0
45,3.4,79.0,4.6,2.7,12.0,2
37,7.5,75.0,7.3,8.1,40.0,0
47,6.3,98.0,9.6,3.4,29.0,2
28,7.4,54.0,10.6,8.0,30.0,1
45,5.5,97.0,6.2,2.8,66.0,0
42,6.4,75.0,7.2,6.8,37.0,0
56,7.6,81.0,12.9,4.9,17.0,2
50,11.2,76.0,12.0,5.2,53.0,0
18,7.7,101.0,9.1,9.2,51.0,1
44,5.2,67.0,1.8,3.0,15.0,1
30,5.9,82.0,16.0,6.7,11.0,2
58,5.8,88.0,8.4,6.6,43.0,1
20,3.8,63.0,7.6,12.2,34.0,1
56,6.0,71.0,6.9,3.3,26.0,1
23,7.6,80.0,9.6,4.2,56.0,0
25,4.6,71.0,9.7,7.1,23.0,1
44,8.1,72.0,11.4,5.1,43.0,0
26,7.2,78.0,5.7,4.6,58.0,0
54,5.4,90.0,7.6,7.4,28.0,2
50,6.3,78.0,14.6,5.0,0.0,2
59,8.9,95.0,9.2,3.7,27.0,2
41,7.6,70.0,8.0,7.0,39.0,0
32,6.5,67.0,5.7,6.3,55.0,0
49,6.1,105.0,10.0,4.9,25.0,2
49,6.6,74.0,11.6,4.8,69.0,0
41,5.7,66.0,11.1,3.7,9.0,2
58,3.3,61.0,7.7,7.0,38.0,0
29,9.6,95.0,9.6,4.8,30.0,2
56,6.7,78.0,13.5,4.0,62.0,0
19,7.1,79.0,11.7,2.9,6.0,2
20,6.4,80.0,6.1,6.3,44.0,0
54,5.4,94.0,1.0,4.5,30.0,1
34,6.2,80.0,9.4,1.5,66.0,0
19,4.1,110.0,10.9,3.1,18.0,2
19,9.9,84.0,5.2,5.0,43.0,0
45,4.6,95.0,8.5,5.1,18.0,2
40,5.0,92.0,7.7,5.0,39.0,1
54,5.8,82.0,8.8,4.7,28.0,1
49,8.4,75.0,6.9,2.5,27.0,0
50,6.5,86.0,12.4,3.8,0.0,2
18,4.6,88.0,8.9,7.9,43.0,1
36,8.4,75.0,5.9,7.6,13.0,2
19,7.6,84.0,11.3,6.7,13.0,2
43,7.3,97.0,4.7,6.5,4.0,2
49,7.6,107.0,12.4,7.3,14.0,2
23,10.1,92.0,11.5,3.3,45.0,1
49,9.8,104.0,12.7,5.6,44.0,2
21,5.5,74.0,8.0,3.3,48.0,0
28,8.9,90.0,7.0,3.3,14.0,2
34,7.1,98.0,8.8,6.2,39.0,1
55,7.2,71.0,8.2,7.4,23.0,1
41,4.0,76.0,6.5,5.1,54.0,0
22,6.2,103.0,6.8,8.8,44.0,2
51,5.3,70.0,7.4,5.9,22.0,1
23,7.7,66.0,5.0,3.9,56.0,0
39,8.1,100.0,10.5,3.3,45.0,1
28,3.4,96.0,8.3,7.5,7.0,2
33,6.5,87.0,7.6,5.8,2.0,2
50,8.2,81.0,5.2,6.9,8.0,2
26,6.2,77.0,5.0,0.2,68.0,0
23,7.6,85.0,14.3,6.0,15.0,2
33,7.0,101.0,6.6,4.5,73.0,0
46,7.0,85.0,10.3,2.7,14.0,2
20,6.1,108.0,9.0,5.4,12.0,2
37,4.7,71.0,1.0,7.7,53.0,0
53,4.8,82.0,13.9,10.0,54.0,1
36,7.6,78.0,10.6,6.0,46.0,0
43,6.5,69.0,6.2,4.1,49.0,0
20,6.3,80.0,8.4,4.0,19.0,2
36,5.9,87.0,5.1,7.4,52.0,0
37,6.0,88.0,14.0,3.5,40.0,1
49,8.1,108.0,5.8,6.7,28.0,2
24,6.0,88.0,6.9,6.1,37.0,1
58,4.5,96.0,6.3,5.9,56.0,1
50,7.6,83.0,8.7,2.4,43.0,0
57,6.2,102.0,12.6,4.8,0.0,2
56,6.5,111.0,13.9,2.6,53.0,2
35,8.9,88.0,7.3,4.3,51.0,0
57,6.5,70.0,9.6,7.3,27.0,1
18,6.9,75.0,8.7,8.0,37.0,1
28,4.7,85.0,5.6,5.9,37.0,1
45,6.2,87.0,15.8,4.4,0.0,2
42,7.4,90.0,12.6,8.7,27.0,2
40,4.2,88.0,9.1,4.3,28.0,2
48,6.8,82.0,13.2,3.2,32.0,1
47,6.7,74.0,12.1,6.9,24.0,1
59,6.6,87.0,8.7,6.4,48.0,1
52,8.1,104.0,9.5,4.4,19.0,2
24,7.0,94.0,13.0,5.7,53.0,1
33,8.7,88.0,5.7,6.4,47.0,1
43,5.0,94.0,13.5,5.9,62.0,1
19,6.7,78.0,7.8,6.4,70.0,0
18,6.6,76.0,13.1,4.5,70.0,0
29,4.9,73.0,8.5,6.6,11.0,2
22,7.9,80.0,9.5,5.5,42.0,1
54,10.0,77.0,8.4,4.6,21.0,1
49,6.5,96.0,6.9,5.0,101.0,0
26,7.3,76.0,7.7,5.3,47.0,0
58,6.6,72.0,12.6,2.6,63.0,0
52,5.4,105.0,1.6,4.2,44.0,1
36,3.8,77.0,4.8,5.6,0.0,2
33,5.4,84.0,6.3,2.8,19.0,2
20,4.4,87.0,5.3,4.3,21.0,2
37,9.1,68.0,13.0,10.3,27.0,1
41,6.3,97.0,12.3,3.2,42.0,1
50,6.0,90.0,10.3,4.7,45.0,1
41,7.8,101.0,6.6,3.8,0.0,2
28,4.8,74.0,12.5,5.3,30.0,1
25,5.3,83.0,3.7,3.9,25.0,1
53,6.6,82.0,14.9,5.0,63.0,0
55,8.0,85.0,6.4,4.1,47.0,0
57,7.3,65.0,7.7,7.6,31.0,1
37,6.9,83.0,7.2,5.7,39.0,1
52,6.6,65.0,5.3,3.5,1.0,2
42,7.1,86.0,14.3,7.2,48.0,1
52,6.8,56.0,10.9,3.6,27.0,0
42,5.0,60.0,12.1,2.4,19.0,1
46,6.6,92.0,4.8,5.5,61.0,0
35,4.9,75.0,9.0,9.3,40.0,1
35,6.6,70.0,10.1,1.8,22.0,1
19,5.8,97.0,9.3,2.8,23.0,2
52,10.3,86.0,5.0,7.0,42.0,0
33,6.4,92.0,11.7,4.2,41.0,2
58,4.4,80.0,8.9,6.7,36.0,1
53,6.3,114.0,5.6,3.8,11.0,2
50,7.3,75.0,2.9,5.8,14.0,2
21,9.0,103.0,10.3,9.0,20.0,2
50,5.6,81.0,15.9,3.1,31.0,1
31,4.1,62.0,5.5,7.5,34.0,0
38,7.7,88.0,9.0,6.9,32.0,1
37,4.4,86.0,11.8,2.5,33.0,2
25,5.8,69.0,4.7,6.6,73.0,0
24,6.1,71.0,7.1,5.6,52.0,0
20,6.4,82.0,5.9,5.7,59.0,0
34,7.5,86.0,11.5,6.2,44.0,1
50,5.5,52.0,12.5,4.8,36.0,0
29,6.1,95.0,9.0,5.6,43.0,2
39,6.5,76.0,6.0,6.0,40.0,1
39,6.7,66.0,7.2,7.0,51.0,0
47,6.6,93.0,6.6,2.4,15.0,2
55,7.2,82.0,5.6,8.1,49.0,0
55,7.8,97.0,8.2,3.2,38.0,1
25,7.1,87.0,10.2,7.0,0.0,2
44,7.2,82.0,10.0,5.7,37.0,1
44,4.1,80.0,8.5,2.9,9.0,2
51,6.6,88.0,8.7,6.6,24.0,1
38,7.2,77.0,8.3,3.6,32.0,1
47,7.6,72.0,4.6,7.6,5.0,2
50,5.5,89.0,9.0,4.1,34.0,1
45,5.5,80.0,6.7,2.5,36.0,1
50,5.6,82.0,4.5,8.6,50.0,0
22,7.3,95.0,9.6,5.9,26.0,2
36,8.1,81.0,6.7,7.2,40.0,1
21,5.9,82.0,9.2,3.8,33.0,1
52,7.9,75.0,11.0,1.7,27.0,1
34,6.7,87.0,5.6,8.9,2.0,2
45,6.3,86.0,8.8,5.5,33.0,1
47,6.2,93.0,3.1,6.5,50.0,1
46,7.6,75.0,13.1,6.8,16.0,2
23,7.0,77.0,4.4,4.8,31.0,1
52,9.9,92.0,7.0,6.0,34.0,1
58,5.2,85.0,12.5,8.7,57.0,0
54,7.3,71.0,7.8,5.4,36.0,0
41,5.7,98.0,4.9,7.4,41.0,1
46,5.2,62.0,10.6,1.5,35.0,0
48,6.5,91.0,10.6,7.7,25.0,2
52,6.7,67.0,6.6,2.5,12.0,1
50,10.9,105.0,6.9,7.5,29.0,2
38,6.2,63.0,7.2,6.3,43.0,0
49,4.8,96.0,7.9,5.3,37.0,2
40,6.9,81.0,2.8,5.3,65.0,0
50,3.4,78.0,8.0,5.0,54.0,0
20,6.4,84.0,13.9,3.9,60.0,0
35,6.5,90.0,5.8,5.1,0.0,2
42,7.7,71.0,6.7,9.9,67.0,0
59,8.0,72.0,4.9,8.1,40.0,0
48,5.7,90.0,10.3,3.8,43.0,1
20,6.3,62.0,12.1,6.0,53.0,0
57,5.4,75.0,12.0,5.7,35.0,1
41,4.8,118.0,4.8,5.2,14.0,2
49,7.0,70.0,10.0,3.5,64.0,0
39,4.6,96.0,12.8,6.4,20.0,2
40,5.9,75.0,10.0,7.2,15.0,2
19,5.0,88.0,9.9,3.8,30.0,2
44,7.3,90.0,7.1,9.4,27.0,2
59,9.2,96.0,9.2,8.5,35.0,2
19,4.5,80.0,12.2,6.6,33.0,2
43,3.7,106.0,9.5,3.0,62.0,1
34,6.3,75.0,4.8,6.3,44.0,0
57,6.5,85.0,7.1,6.1,18.0,2
50,6.8,85.0,12.1,6.5,21.0,2
26,5.8,69.0,9.5,8.7,27.0,1
56,6.2,79.0,8.9,5.1,27.0,1
46,7.1,84.0,6.8,9.6,25.0,2
59,8.1,77.0,12.1,6.3,13.0,2
43,3.6,111.0,13.5,4.9,41.0,2
52,5.9,72.0,12.3,10.3,26.0,2
42,6.8,96.0,12.8,7.2,16.0,2
41,5.1,92.0,7.4,4.6,45.0,1
30,9.1,82.0,7.0,5.7,52.0,0
24,5.5,72.0,8.0,6.8,30.0,1
53,6.4,73.0,8.6,5.2,71.0,0
37,7.3,76.0,12.8,5.8,79.0,0
18,5.6,61.0,12.0,3.9,45.0,0
25,3.7,70.0,10.1,2.1,26.0,1
33,5.9,64.0,4.2,5.7,40.0,0
31,8.0,98.0,3.4,5.8,11.0,2
29,6.0,89.0,9.2,6.6,18.0,2
40,5.2,91.0,11.1,4.3,1.0,2
32,7.9,89.0,8.3,2.8,22.0,2
45,6.0,84.0,14.2,3.6,10.0,2
51,5.7,100.0,5.3,7.6,47.0,1
19,6.7,75.0,4.9,4.2,20.0,1
49,7.7,83.0,6.5,4.6,41.0,0
40,10.1,91.0,6.4,4.9,50.0,0
39,7.7,66.0,10.1,4.3,58.0,0
42,8.2,119.0,7.2,4.1,28.0,2
39,5.7,82.0,3.9,3.8,41.0,0
39,5.0,84.0,11.2,8.3,42.0,1
59,6.6,97.0,3.2,6.9,60.0,0
23,6.7,93.0,5.3,8.0,51.0,1
32,4.9,82.0,3.6,8.4,61.0,0
54,6.2,84.0,9.1,0.8,2.0,2
50,7.1,64.0,9.1,6.2,22.0,1
25,7.0,75.0,14.2,4.3,56.0,0
22,7.3,88.0,11.2,7.7,47.0,1
56,6.9,87.0,12.8,4.0,32.0,2
21,5.7,97.0,9.4,3.4,26.0,2
23,5.7,81.0,5.6,2.6,51.0,0
49,4.7,65.0,8.9,4.9,0.0,2
47,9.2,95.0,10.3,7.3,51.0,1
52,6.5,99.0,10.6,6.0,37.0,2
57,6.2,93.0,7.1,3.1,25.0,2
33,5.1,80.0,10.0,9.8,45.0,1
30,10.9,95.0,5.7,6.8,27.0,2
59,4.9,123.0,5.4,7.1,36.0,2
47,5.9,83.0,5.2,8.1,34.0,1
36,7.1,66.0,8.6,2.2,50.0,0
34,7.4,75.0,5.0,3.7,38.0,0
36,7.9,90.0,7.2,7.1,0.0,2
45,9.2,63.0,11.2,3.9,7.0,2
43,7.3,84.0,5.4,4.9,13.0,2
54,4.9,87.0,7.0,5.3,44.0,1
43,6.1,100.0,8.7,2.9,46.0,2
40,7.0,98.0,9.2,4.8,68.0,0
26,9.6,92.0,7.0,7.3,15.0,2
29,4.4,56.0,10.9,7.0,61.0,0
18,8.3,93.0,10.3,7.7,0.0,2
18,6.8,90.0,11.9,7.5,35.0,2
51,7.8,85.0,8.3,6.3,40.0,1
49,6.3,61.0,7.0,6.2,40.0,0
42,5.2,73.0,6.5,6.0,29.0,1
57,7.6,68.0,9.4,4.2,37.0,0
18,7.5,58.0,7.4,3.4,10.0,1
33,8.0,82.0,6.8,4.1,52.0,0
56,6.5,72.0,7.2,4.8,40.0,0
22,5.6,114.0,6.4,4.2,42.0,2
39,4.2,80.0,9.1,6.3,29.0,2
46,7.7,98.0,4.3,5.9,28.0,1
20,7.1,63.0,9.4,6.1,45.0,0
29,5.1,76.0,10.5,6.2,67.0,0
43,5.7,83.0,6.8,7.9,7.0,2
33,5.8,71.0,14.3,5.5,6.0,2
54,4.3,77.0,8.6,7.5,40.0,1
39,5.3,79.0,3.8,6.5,28.0,1
46,4.8,79.0,7.7,7.8,37.0,1
31,5.9,104.0,8.7,8.7,35.0,2
45,5.4,87.0,9.8,6.7,47.0,1
22,4.1,88.0,7.7,5.7,29.0,2
47,9.5,88.0,5.5,5.7,11.0,2
22,8.4,89.0,5.2,4.6,19.0,2
29,5.3,81.0,6.5,4.5,32.0,1
33,6.9,78.0,6.8,7.3,10.0,2
43,7.1,84.0,5.1,3.6,34.0,1
43,8.3,96.0,6.3,8.7,36.0,1
38,5.3,96.0,10.5,5.2,28.0,2
56,8.1,79.0,13.4,11.2,39.0,1
53,5.7,91.0,10.8,4.1,3.0,2
50,4.5,80.0,12.4,6.0,16.0,2
47,7.6,82.0,11.4,4.8,12.0,2
54,8.4,76.0,11.0,3.9,53.0,0
40,10.4,80.0,7.5,7.6,81.0,0
27,4.7,98.0,8.9,3.3,17.0,2
22,7.5,83.0,7.2,4.1,30.0,1
53,5.9,84.0,7.8,6.7,21.0,2
51,7.7,65.0,8.7,7.0,39.0,0
48,4.3,78.0,10.6,2.7,23.0,1
27,4.6,79.0,9.8,6.7,41.0,1
36,5.3,72.0,8.0,5.8,48.0,0
49,6.6,82.0,8.7,3.7,11.0,2
18,5.5,77.0,9.8,3.9,40.0,1
22,7.5,83.0,10.5,1.4,0.0,2
21,8.0,83.0,3.9,8.9,30.0,1
33,7.4,71.0,5.3,7.5,29.0,1
41,8.9,77.0,11.8,2.9,30.0,1
33,7.1,83.0,8.3,7.1,29.0,2
19,4.7,96.0,7.2,4.4,25.0,2
45,8.5,85.0,7.7,7.3,30.0,1
49,5.6,74.0,7.7,4.5,40.0,0
44,7.9,87.0,10.2,4.8,40.0,1
37,8.9,102.0,5.2,4.9,37.0,1
41,7.2,93.0,8.6,4.2,24.0,2
29,4.3,89.0,9.2,8.3,57.0,0
52,5.1,91.0,9.7,7.3,66.0,0
50,8.5,99.0,9.2,5.7,9.0,2
50,6.2,95.0,10.0,7.5,38.0,1
54,6.6,89.0,6.8,2.2,26.0,1
29,7.6,95.0,5.7,3.0,54.0,0
20,7.5,69.0,15.9,6.4,35.0,1
18,6.9,64.0,7.6,7.0,36.0,0
50,6.2,84.0,7.9,6.1,45.0,1
57,6.0,83.0,10.5,1.7,29.0,1
27,7.8,75.0,13.3,3.4,69.0,0
46,7.3,92.0,6.9,6.3,45.0,1
30,6.1,60.0,5.5,10.4,54.0,0
29,8.1,76.0,4.8,7.9,31.0,1
48,6.3,76.0,13.3,8.7,33.0,2
19,5.2,62.0,5.4,6.2,51.0,0
52,5.4,100.0,8.4,6.2,49.0,1
40,5.0,66.0,5.6,3.4,10.0,2
34,6.1,75.0,4.2,7.4,38.0,1
43,8.4,93.0,7.6,5.4,44.0,1
25,5.3,90.0,5.7,6.9,32.0,1
46,6.8,69.0,6.4,5.6,43.0,0
43,5.5,90.0,14.5,6.1,33.0,2
27,6.1,85.0,9.8,5.3,0.0,2
43,4.2,110.0,11.3,5.9,9.0,2
51,6.2,87.0,11.0,7.5,54.0,1
58,6.2,80.0,8.2,3.0,30.0,1
24,7.3,72.0,7.2,2.5,39.0,0
21,6.8,73.0,9.2,6.4,35.0,0
28,4.7,72.0,9.0,8.4,18.0,2
46,8.1,98.0,6.8,8.9,26.0,2
53,6.8,82.0,8.9,3.1,42.0,0
42,6.8,89.0,6.4,4.7,44.0,1
38,6.5,100.0,8.0,2.5,79.0,0
53,5.7,54.0,7.5,4.4,25.0,1
27,6.8,97.0,4.7,7.7,68.0,0
54,7.2,83.0,1.4,5.5,18.0,1
26,3.9,87.0,5.7,4.8,45.0,1
41,5.7,72.0,13.9,6.6,39.0,0
52,6.1,73.0,7.6,3.9,32.0,0
52,6.9,88.0,10.8,8.7,35.0,2
53,8.3,111.0,2.1,5.5,23.0,2
35,5.3,94.0,5.5,4.7,53.0,0
56,5.8,97.0,4.4,6.7,18.0,2
49,5.7,80.0,7.9,7.4,41.0,1
41,5.3,75.0,15.8,8.7,50.0,0
40,6.0,73.0,9.9,5.1,63.0,0
49,7.7,76.0,13.6,7.7,54.0,0
54,4.9,57.0,7.7,5.7,46.0,0
29,7.1,73.0,12.6,4.3,22.0,1
30,3.9,75.0,14.7,3.9,19.0,2
40,5.7,80.0,8.2,3.3,12.0,2
42,6.0,84.0,6.9,4.0,10.0,2
52,9.0,86.0,4.5,7.7,35.0,1
58,6.1,82.0,7.6,6.9,20.0,2
47,3.2,75.0,8.7,3.0,59.0,0
34,3.5,58.0,14.6,2.0,23.0,1
37,6.6,75.0,4.6,3.3,37.0,0
42,7.4,70.0,8.7,3.9,30.0,1
39,7.1,88.0,3.1,4.9,7.0,2
30,6.8,93.0,7.2,7.8,57.0,1
36,8.2,93.0,9.4,4.4,49.0,0
53,5.7,91.0,10.0,8.9,51.0,1
29,7.8,80.0,10.3,2.1,47.0,0
58,4.1,76.0,9.7,4.8,20.0,2
36,5.1,73.0,10.2,7.1,20.0,2
29,3.8,64.0,8.6,7.2,44.0,0
26,6.1,94.0,5.4,4.8,66.0,0
24,6.4,80.0,2.9,7.5,43.0,0
45,6.7,67.0,6.9,7.1,55.0,0
31,6.6,72.0,8.1,4.1,24.0,1
48,5.1,72.0,12.3,6.1,57.0,0
36,6.2,83.0,8.2,6.9,27.0,1
33,4.3,95.0,7.9,4.3,40.0,1
22,8.5,78.0,9.7,8.9,28.0,2
52,6.0,55.0,7.7,3.8,53.0,0
29,5.8,80.0,10.9,5.8,53.0,0
42,8.9,80.0,14.4,3.0,5.0,2
38,4.6,79.0,15.1,5.7,62.0,0
53,4.8,74.0,8.8,3.4,83.0,0
40,4.9,85.0,9.5,4.9,28.0,2
33,6.4,83.0,13.2,2.3,32.0,2
56,7.1,82.0,8.1,7.1,60.0,0
59,7.6,87.0,10.5,6.2,36.0,2
56,10.4,77.0,5.1,7.7,35.0,0
31,3.1,76.0,7.6,4.8,73.0,0
48,7.4,99.0,12.0,7.8,8.0,2
22,5.7,89.0,6.3,5.6,19.0,2
52,5.6,92.0,8.1,5.7,43.0,1
40,5.6,97.0,3.8,9.7,3.0,2
46,5.1,88.0,14.5,4.5,28.0,2
28,9.0,93.0,12.3,8.0,27.0,2
35,7.8,63.0,9.1,6.5,54.0,0
29,6.5,84.0,10.0,4.4,49.0,0
26,8.5,80.0,9.7,2.9,1.0,2
27,4.2,102.0,12.7,3.4,21.0,2
34,4.5,93.0,6.9,7.8,21.0,2
55,3.2,74.0,10.7,9.0,31.0,1
24,5.5,86.0,11.7,5.7,13.0,2
30,6.7,84.0,12.1,5.8,44.0,1
57,6.7,87.0,1.7,7.1,21.0,1
59,6.7,70.0,6.7,5.6,47.0,0
26,4.4,86.0,5.4,7.7,35.0,1
44,7.7,79.0,8.9,6.1,16.0,2
19,6.9,85.0,2.5,5.8,63.0,0
22,7.6,73.0,2.4,4.1,63.0,0
46,3.7,75.0,15.0,3.6,41.0,1
54,7.0,96.0,10.4,0.0,30.0,2
55,4.7,69.0,8.9,8.0,14.0,2
36,5.9,70.0,9.6,5.2,56.0,0
25,7.3,81.0,8.9,4.7,51.0,0
18,6.6,73.0,11.5,1.6,19.0,1
39,5.2,71.0,6.6,4.2,21.0,1
34,6.5,83.0,9.1,4.0,44.0,0
24,4.2,64.0,9.2,3.9,11.0,1
42,8.2,70.0,5.4,6.2,22.0,1
21,6.2,107.0,12.3,5.7,14.0,2
53,8.2,88.0,7.2,2.8,15.0,2
23,5.7,73.0,11.6,2.9,21.0,2
48,5.7,87.0,8.8,2.9,53.0,0
36,5.4,89.0,13.4,9.1,-0.0,2
56,7.8,94.0,5.4,8.5,44.0,1
44,5.4,80.0,5.2,3.8,40.0,1
27,7.5,94.0,5.8,1.5,54.0,0
43,5.9,58.0,8.9,5.8,40.0,0
36,3.5,69.0,13.1,5.6,27.0,1
56,5.6,84.0,13.3,6.1,19.0,2
20,4.7,86.0,1.6,7.0,55.0,0
